sno,filename,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
0,003,0.020947177,0.013661202,0.02276867,0.104735883,0.013661202,0.028233151,0.64571949,0.106557377,0.008196721,0.035519126
1,016,0.225490196,0.027233115,0.020697168,0.41503268,0.009803922,0.055555556,0.009803922,0.018518519,0.027233115,0.190631808
2,012,0.213615023,0.007042254,0.007042254,0.027386541,0.187010955,0.008607199,0.212050078,0.007042254,0.008607199,0.321596244
3,044,0.601960784,0.132679739,0.020261438,0.07254902,0.008496732,0.011111111,0.007189542,0.008496732,0.068627451,0.068627451
4,015,0.004166667,0.004166667,0.005092593,0.03287037,0.020833333,0.874537037,0.0125,0.016203704,0.006018519,0.023611111
5,029,0.125,0.007352941,0.015522876,0.007352941,0.118464052,0.012254902,0.625,0.035130719,0.022058824,0.031862745
6,002,0.036351166,0.095336077,0.007544582,0.564471879,0.040466392,0.00617284,0.00617284,0.015775034,0.00617284,0.221536351
7,046,0.635304659,0.031362007,0.024193548,0.085125448,0.015232975,0.033154122,0.015232975,0.042114695,0.01344086,0.10483871
8,049,0.006069094,0.012605042,0.628851541,0.021008403,0.035014006,0.008870215,0.044351074,0.03968254,0.017273576,0.18627451
9,045,0.018987342,0.007735584,0.066807314,0.598452883,0.023206751,0.006329114,0.006329114,0.127285513,0.006329114,0.138537271
10,010,0.009090909,0.356565657,0.009090909,0.11010101,0.027272727,0.041414141,0.368686869,0.019191919,0.023232323,0.035353535
11,023,0.530193237,0.013285024,0.078502415,0.010869565,0.010869565,0.015700483,0.010869565,0.035024155,0.121980676,0.172705314
12,048,0.045019157,0.060344828,0.02394636,0.012452107,0.02394636,0.00862069,0.00862069,0.761494253,0.010536398,0.045019157
13,019,0.054166667,0.0375,0.020833333,0.056944444,0.226388889,0.101388889,0.0375,0.401388889,0.031944444,0.031944444
14,035,0.066872428,0.077160494,0.009259259,0.013374486,0.009259259,0.027777778,0.013374486,0.177983539,0.387860082,0.217078189
15,031,0.260416667,0.084027778,0.00625,0.197916667,0.015972222,0.022916667,0.00625,0.295138889,0.009027778,0.102083333
16,026,0.057807808,0.192942943,0.433183183,0.063813814,0.006756757,0.006756757,0.035285285,0.006756757,0.086336336,0.11036036
