sno,filename,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
1,003.txt,0.010273973,0.023972603,0.058219178,0.058219178,0.023972603,0.017123288,0.003424658,0.003424658,0.523972603,0.27739726
2,016.txt,0.021186441,0.105932203,0.199152542,0.004237288,0.131355932,0.131355932,0.275423729,0.038135593,0.088983051,0.004237288
3,012.txt,0.471518987,0.003164557,0.287974684,0.015822785,0.009493671,0.028481013,0.041139241,0.117088608,0.003164557,0.022151899
4,044.txt,0.164215686,0.007352941,0.120098039,0.071078431,0.036764706,0.00245098,0.580882353,0.00245098,0.012254902,0.00245098
5,015.txt,0.005119454,0.001706485,0.015358362,0.018771331,0.011945392,0.032423208,0.001706485,0.07337884,0.800341297,0.039249147
6,029.txt,0.21039604,0.002475248,0.022277228,0.002475248,0.017326733,0.051980198,0.012376238,0.061881188,0.022277228,0.596534653
7,002.txt,0.033505155,0.059278351,0.085051546,0.00257732,0.059278351,0.100515464,0.574742268,0.06443299,0.00257732,0.018041237
8,046.txt,0.116352201,0.01572327,0.411949686,0.009433962,0.034591195,0.003144654,0.349056604,0.009433962,0.009433962,0.040880503
9,049.txt,0.005660377,0.620754717,0.111320755,0.016981132,0.016981132,0.054716981,0.024528302,0.066037736,0.013207547,0.069811321
10,045.txt,0.009090909,0.009090909,0.603030303,0.039393939,0.045454545,0.118181818,0.045454545,0.033333333,0.015151515,0.081818182
11,010.txt,0.174796748,0.085365854,0.109756098,0.028455285,0.264227642,0.012195122,0.020325203,0.004065041,0.296747967,0.004065041
12,023.txt,0.077981651,0.004587156,0.160550459,0.142201835,0.050458716,0.004587156,0.417431193,0.123853211,0.004587156,0.013761468
13,048.txt,0.139285714,0.025,0.046428571,0.517857143,0.003571429,0.067857143,0.039285714,0.032142857,0.032142857,0.096428571
14,019.txt,0.097972973,0.030405405,0.043918919,0.016891892,0.483108108,0.158783784,0.037162162,0.111486486,0.003378378,0.016891892
15,035.txt,0.004504505,0.004504505,0.067567568,0.328828829,0.256756757,0.031531532,0.103603604,0.031531532,0.022522523,0.148648649
16,031.txt,0.002873563,0.002873563,0.129310345,0.014367816,0.405172414,0.048850575,0.244252874,0.054597701,0.020114943,0.077586207
17,026.txt,0.02866242,0.436305732,0.149681529,0.098726115,0.079617834,0.02866242,0.047770701,0.02866242,0.022292994,0.079617834
18,025.txt,0.06,0.006666667,0.073333333,0.011111111,0.113333333,0.077777778,0.002222222,0.002222222,0.584444444,0.068888889
19,024.txt,0.094155844,0.068181818,0.269480519,0.00974026,0.003246753,0.022727273,0.470779221,0.016233766,0.035714286,0.00974026
20,017.txt,0.004504505,0.040540541,0.004504505,0.5,0.202702703,0.067567568,0.004504505,0.031531532,0.076576577,0.067567568
21,013.txt,0.096273292,0.51863354,0.127329193,0.071428571,0.096273292,0.00310559,0.034161491,0.027950311,0.02173913,0.00310559
22,020.txt,0.021523179,0.044701987,0.05794702,0.004966887,0.031456954,0.690397351,0.011589404,0.094370861,0.024834437,0.018211921
23,040.txt,0.0125,0.120833333,0.095833333,0.470833333,0.095833333,0.045833333,0.104166667,0.0125,0.029166667,0.0125
24,050.txt,0.008426966,0.019662921,0.154494382,0.193820225,0.030898876,0.019662921,0.154494382,0.300561798,0.070224719,0.047752809
25,047.txt,0.02016129,0.052419355,0.060483871,0.052419355,0.004032258,0.004032258,0.116935484,0.592741935,0.044354839,0.052419355
26,021.txt,0.00273224,0.019125683,0.00273224,0.161202186,0.357923497,0.040983607,0.013661202,0.172131148,0.019125683,0.210382514
27,043.txt,0.626126126,0.013513514,0.004504505,0.040540541,0.004504505,0.022522523,0.04954955,0.112612613,0.004504505,0.121621622
28,030.txt,0.036945813,0.022167488,0.307881773,0.012315271,0.061576355,0.007389163,0.366995074,0.179802956,0.002463054,0.002463054
29,011.txt,0.005494505,0.016483516,0.016483516,0.60989011,0.126373626,0.049450549,0.137362637,0.005494505,0.005494505,0.027472527
30,014.txt,0.002024291,0.066801619,0.030364372,0.127530364,0.034412955,0.006072874,0.026315789,0.046558704,0.010121457,0.649797571
31,032.txt,0.387417219,0.168874172,0.049668874,0.009933775,0.248344371,0.023178808,0.016556291,0.003311258,0.056291391,0.036423841
32,037.txt,0.5725,0.0675,0.0125,0.0025,0.1675,0.0675,0.0025,0.0575,0.0175,0.0325
33,018.txt,0.039772727,0.017045455,0.119318182,0.017045455,0.005681818,0.528409091,0.176136364,0.005681818,0.085227273,0.005681818
34,028.txt,0.004132231,0.119834711,0.681818182,0.012396694,0.004132231,0.053719008,0.053719008,0.037190083,0.02892562,0.004132231
35,038.txt,0.027472527,0.005494505,0.104395604,0.445054945,0.247252747,0.027472527,0.027472527,0.093406593,0.005494505,0.016483516
36,001.txt,0.011737089,0.021126761,0.058685446,0.603286385,0.072769953,0.143192488,0.039906103,0.035211268,0.007042254,0.007042254
37,041.txt,0.031976744,0.002906977,0.00872093,0.00872093,0.014534884,0.026162791,0.386627907,0.299418605,0.125,0.095930233
38,009.txt,0.07421875,0.01171875,0.13671875,0.00390625,0.01953125,0.00390625,0.00390625,0.71484375,0.00390625,0.02734375
39,042.txt,0.004166667,0.029166667,0.1375,0.204166667,0.045833333,0.020833333,0.0625,0.404166667,0.004166667,0.0875
40,034.txt,0.029032258,0.429032258,0.05483871,0.003225806,0.022580645,0.048387097,0.003225806,0.093548387,0.022580645,0.293548387
41,005.txt,0.010344828,0.024137931,0.010344828,0.182758621,0.617241379,0.003448276,0.037931034,0.086206897,0.003448276,0.024137931
42,007.txt,0.003703704,0.055555556,0.018518519,0.011111111,0.092592593,0.085185185,0.692592593,0.025925926,0.011111111,0.003703704
43,033.txt,0.54245283,0.004716981,0.014150943,0.004716981,0.04245283,0.070754717,0.080188679,0.174528302,0.023584906,0.04245283
44,006.txt,0.139423077,0.004807692,0.129807692,0.072115385,0.004807692,0.004807692,0.552884615,0.033653846,0.004807692,0.052884615
45,027.txt,0.080769231,0.026923077,0.096153846,0.065384615,0.026923077,0.080769231,0.011538462,0.126923077,0.003846154,0.480769231
46,022.txt,0.093373494,0.003012048,0.219879518,0.03313253,0.039156627,0.135542169,0.262048193,0.09939759,0.057228916,0.057228916
47,036.txt,0.043604651,0.00872093,0.037790698,0.014534884,0.281976744,0.293604651,0.002906977,0.090116279,0.212209302,0.014534884
48,004.txt,0.00245098,0.00245098,0.223039216,0.370098039,0.026960784,0.012254902,0.100490196,0.203431373,0.046568627,0.012254902
49,008.txt,0.077160494,0.064814815,0.040123457,0.00308642,0.015432099,0.50308642,0.175925926,0.077160494,0.015432099,0.027777778
50,039.txt,0.15625,0.602678571,0.004464286,0.013392857,0.147321429,0.040178571,0.004464286,0.004464286,0.004464286,0.022321429
