0 yukos 0:17  
1 unit 0:8 5:7 
2 buyer 0:3  
3 faces 0:5   
4 loan 0:3  
5 claim 0:8  
6 owners 0:1 1:1 
7 embattled 9:1  
8 russian 0:9  
9 oil 9:26  
10 giant 6:9  
11 production 9:12 1:12 
12 pay 0:4 4:3 
13 back 9:21  
14 state-owned 7:3  
15 rosneft 0:9  
16 bought 0:7 6:3 
17 yugansk 0:11  
18 sale 0:9  
19 forced 7:3 0:3 
20 russia 0:4 7:2 
21 part 4:10 5:3 
22 settle 0:3  
23 tax 0:4 5:2 
24 owner 6:2  
25 menatep 0:3  
26 group 1:16 0:9 
27 repay 0:1  
28 secured 1:1  
29 assets 8:5 0:4 
30 similar 0:1 8:1 
31 repayment 0:1  
32 demand 9:23  
33 foreign 7:19  
34 banks 0:4  
35 legal 0:6  
36 experts 6:2 0:1 
37 rosneft's 0:1  
38 purchase 7:5  
39 include 3:3  
40 obligations 0:1  
41 pledged 9:1  
42 real 0:1  
43 money 7:12  
44 creditors 0:7  
45 avoid 1:1  
46 seizure 0:2  
47 moscow-based 0:1  
48 lawyer 0:1  
49 jamie 0:1  
50 firestone 0:1  
51 connected 0:1  
52 case 0:7  
53 group's 0:1 9:1 
54 managing 9:2  
55 director 9:3  
56 tim 9:1  
57 osborne 7:1  
58 told 2:10 7:9 0:1
59 reuters 0:7  
60 news 1:9 6:4 0:4
61 agency 0:5 9:3 
62 default 0:1  
63 fight 7:1 2:1 
64 rule 6:2  
65 law 0:3  
66 exists 0:1  
67 international 3:6 1:2 7:1
68 arbitration 0:1  
69 clauses 0:1  
70 credit 9:5  
71 officials 0:6  
72 unavailable 0:2  
73 comment 6:3 1:1 
74 company 6:12 0:10 1:8
75 intends 0:2  
76 action 0:6  
77 recover 7:2  
78 claims 0:4  
79 debts 0:4  
80 owed 0:2  
81 filed 0:3  
82 bankruptcy 0:4  
83 protection 0:7  
84 court 0:10  
85 attempt 0:3  
86 prevent 0:2  
87 main 9:6  
88 arm 0:1  
89 ahead 9:9 1:3 
90 december 5:5 6:4 0:1
91 sold 1:5 0:3 
92 little-known 0:1  
93 shell 1:2  
94 turn 0:3 2:2 
95 downfall 0:1  
96 punishment 0:1  
97 political 0:1 3:1 
98 ambitions 4:1  
99 founder 0:1  
100 mikhail 0:2  
101 khodorkovsky 0:3  
102 vowed 7:1  
103 sue 0:2  
104 participant 0:1  
105 china 7:13  
106 tight 7:1  
107 rein 7:2  
108 china's 8:7 7:1 
109 efforts 2:2 0:2 
110 stop 1:1  
111 economy 8:41  
112 overheating 7:1  
113 clamping 9:1  
114 continue 5:11 8:1 
115 state 7:12 9:1 
116 media 6:6  
117 report 9:10 5:3 
118 curbs 8:1  
119 introduced 5:2 8:1 
120 earlier 8:9  
121 year 5:34 9:33 2:10
122 ward 8:1  
123 risk 5:3 1:1 
124 rapid 8:2 1:1 
125 expansion 8:2  
126 lead 5:5 9:2 
127 soaring 9:4  
128 prices 9:29  
129 fears 9:5  
130 stress 8:1  
131 fragile 8:2  
132 banking 8:3  
133 system 3:3  
134 growth 8:51  
135 remains 9:11  
136 breakneck 8:2  
137 corporate 2:5  
138 investment 1:12 6:5 
139 growing 7:4 4:2 
140 pace 8:3  
141 economic 8:23  
142 tooling-up 7:1  
143 manufacturing 8:1  
144 sector 8:3  
145 means 8:3 3:2 9:1
146 massive 8:2  
147 energy 9:7  
148 factors 8:4  
149 world 9:19  
150 sky-high 8:1  
151 theory 9:1  
152 government 7:30 8:13 
153 target 5:7 4:1 
154 continues 9:2  
155 insist 8:1  
156 overshoot 8:1  
157 hard 5:6  
158 landing 7:1  
159 shape 4:1  
160 overbalancing 7:1  
161 low 8:6 7:2 
162 exchange 7:9 6:3 
163 rate 8:11 4:2 
164 yuan 7:4  
165 pegged 8:2  
166 dollar 8:14  
167 relentless 8:1  
168 decline 8:5  
169 chinese 7:12  
170 exports 8:7 7:1 
171 cheap 8:3  
172 markets 7:8  
173 resisted 2:1  
174 pressure 7:4  
175 break 9:1  
176 link 7:1  
177 shift 7:3  
178 level 8:8  
179 peg 8:2  
180 extent 7:2  
181 controls 8:1 7:1 
182 taking 8:6  
183 effect 8:3  
184 industrial 9:7  
185 output 8:8 1:2 
186 grew 8:4  
187 october 9:7  
188 february 7:2  
189 inflation 8:3  
190 slowed 8:3  
191 retail 9:1  
192 sales 6:29  
193 booming 9:2  
194 indonesians 9:2  
195 face 9:6  
196 fuel 9:21  
197 price 9:9  
198 rise 9:20  
199 indonesia's 9:2  
200 confirmed 5:3 2:1 
201 raising 7:3  
202 millions 9:2  
203 kerosene 9:1  
204 basic 4:1  
205 cooking 9:1  
206 heavily 7:1  
207 subsidised 9:1  
208 years 6:19 1:5 
209 president 8:6 7:6 
210 susilo 7:1  
211 bambang 9:1  
212 yudhoyono's 4:2  
213 curb 7:2 5:1 
214 subsidies 7:9  
215 direct 7:3  
216 aid 7:1  
217 programmes 7:3  
218 poor 7:9  
219 critics 7:2  
220 argue 4:2  
221 cutting 9:4  
222 hurt 9:2  
223 poorer 9:1  
224 families 9:1  
225 people 9:6 1:3 7:1
226 left 5:3  
227 homeless 7:1  
228 indonesia 9:2  
229 aceh's 4:1  
230 region 4:1  
231 earthquake 7:1  
232 tsunami 7:1  
233 disaster 4:1  
234 late 9:4  
235 pays 9:1  
236 importers 7:1  
237 order 5:7  
238 stabilise 7:1 5:1 
239 domestic 9:14  
240 higher 9:17  
241 spend 9:1  
242 holding 9:1  
243 spent 9:1  
244 trillion 7:6 2:4 
245 rupiah 7:2  
246 sum 5:1  
247 excess 9:1  
248 original 4:1  
249 projection 5:1  
250 power 7:1  
251 intention 9:1  
252 january 8:7 9:5 
253 march 5:5 2:3 
254 quarter 8:11 6:10 
255 time 4:12 1:8 
256 increase 7:10  
257 sri 7:1  
258 mulyani 4:1  
259 indrawati 9:1  
260 minister 7:10  
261 national 9:6  
262 development 4:4  
263 planning 7:3 1:2 
264 hike 9:1  
265 suitable 7:1  
266 moment 5:1  
267 sooner 5:2  
268 budget 5:12  
269 bbc's 9:2 3:1 
270 correspondent 4:1  
271 jakarta 5:1  
272 rachel 9:1  
273 harvey 4:1  
274 business 2:12 6:11 
275 strong 8:8 6:8 
276 public 9:4  
277 reaction 6:1  
278 big 4:6 9:1 3:1
279 question 7:2  
280 short 5:6 9:1 
281 sharp 4:5  
282 shock 9:4  
283 raise 9:4  
284 stagger 7:1  
285 previous 8:5 5:2 
286 led 1:3 9:1 
287 megawati 9:1  
288 sukarnoputri 9:1  
289 attempted 7:1  
290 cut 5:14  
291 protests 9:1  
292 japan 2:12  
293 slides 9:1  
294 recession 8:8  
295 japanese 2:16  
296 officially 8:1  
297 fourth 9:5 6:3 
298 decade 9:2  
299 gross 9:3  
300 product 2:6  
301 fell 8:8  
302 months 8:8 2:8 
303 fall 8:8 2:5 9:1
304 reflects 8:2  
305 weak 2:3  
306 slowdown 8:1  
307 consumer 8:5  
308 spending 8:9  
309 falls 8:6  
310 gdp 8:4  
311 quarters 8:7  
312 tokyo 2:5  
313 stock 2:9  
314 market 8:17 6:15 2:3
315 figures 8:14  
316 announced 6:5 1:4 
317 rose 6:9 8:5 
318 widespread 2:2  
319 perception 2:1  
320 wednesday 9:6  
321 revised 8:4  
322 account 8:7 1:1 
323 performance 6:7  
324 recent 9:9 5:6 4:1
325 period 2:3  
326 effectively 6:1  
327 tips 8:2  
328 estimate 8:5  
329 july 4:4  
330 september 8:5 4:1 
331 downgraded 8:2  
332 commonly 2:1  
333 defined 8:1  
334 consecutive 4:1  
335 negative 8:4  
336 takes 8:2  
337 judging 2:1  
338 status 7:2 9:1 
339 released 6:2  
340 government's 8:4  
341 cabinet 8:1  
342 office 8:3  
343 showed 9:3  
344 annualised 4:1  
345 basis 8:3  
346 politicians 2:2  
347 remain 8:5  
348 upbeat 2:2 6:1 
349 prospects 2:3  
350 boost 8:4 6:4 2:1
351 soft 8:1  
352 patches 8:1  
353 bigger 8:1  
354 picture 8:2  
355 recovery 8:8  
356 stage 6:1  
357 fiscal 2:1  
358 policy 8:4 9:1 
359 heizo 8:2  
360 takenaka 8:3  
361 measures 8:4  
362 goods 8:2 3:2 
363 services 6:3 8:2 
364 produced 1:7  
365 country 7:4 2:1 
366 assessed 8:1  
367 comprehensively 8:1  
368 stressed 2:2  
369 ministers 7:2  
370 pointed 8:1 0:1 
371 fact 9:2 4:2 
372 depressed 4:1 9:1 
373 one-off 9:2  
374 unseasonably 6:1  
375 mild 8:1  
376 winter 2:2  
377 analysts 6:11  
378 disappointing 4:1  
379 argued 2:1 0:1 9:1
380 japan's 2:14  
381 largest 2:7 1:2 
382 companies 4:19  
383 recording 2:1  
384 healthy 2:1  
385 profits 6:26  
386 capital 2:3  
387 fuelled 6:3  
388 forecast 8:8 5:2 
389 economy's 9:2  
390 dependent 8:1  
391 upturn 9:1  
392 yen 2:5 3:1 
393 improvement 2:2  
394 global 9:9 7:3 
395 economies 2:2  
396 results 6:13  
397 lower 6:6  
398 end 2:3 6:2 
399 expectations 8:4  
400 shouldn't 8:1  
401 pessimistic 9:1  
402 current 8:6 4:3 
403 outlook 8:6  
404 naoki 8:1  
405 iizuka 2:1  
406 senior 2:2  
407 economist 8:8  
408 dai-ichi 8:1  
409 life 2:1  
410 research 8:5  
411 institute 8:1  
412 stretches 8:1  
413 moderate 8:3  
414 past 9:8  
415 periodically 2:1  
416 slipped 2:2  
417 air 3:7  
418 passengers 3:13 5:1 
419 win 3:1  
420 rights 5:3 1:2 
